coordinates 	81.06	237.31	209.06	237.31
time(s)	frame	Idon(a.u.)	Iacc(a.u.)	Idon ideal(a.u.)	Iacc ideal(a.u.)	FRET	FRET ideal (blurr)	FRET ideal	state sequence
1.000000e-01	1	7.730972e+02	1.492433e+03	1.080000e+01	2.520000e+01	6.587565e-01	7.000000e-01	7.000000e-01	4
2.000000e-01	2	6.436333e+02	2.119096e+03	1.080000e+01	2.520000e+01	7.670299e-01	7.000000e-01	7.000000e-01	4
3.000000e-01	3	5.955011e+02	1.511388e+03	1.080000e+01	2.520000e+01	7.173552e-01	7.000000e-01	7.000000e-01	4
4.000000e-01	4	5.568253e+02	1.132466e+03	1.080000e+01	2.520000e+01	6.703793e-01	7.000000e-01	7.000000e-01	4
5.000000e-01	5	2.999573e+02	1.222025e+03	1.080000e+01	2.520000e+01	8.029167e-01	7.000000e-01	7.000000e-01	4
6.000000e-01	6	7.093036e+02	1.620723e+03	1.080000e+01	2.520000e+01	6.955813e-01	7.000000e-01	7.000000e-01	4
7.000000e-01	7	9.479415e+02	7.390082e+02	1.080000e+01	2.520000e+01	4.380736e-01	7.000000e-01	7.000000e-01	4
8.000000e-01	8	4.589486e+02	1.507264e+03	1.080000e+01	2.520000e+01	7.665824e-01	7.000000e-01	7.000000e-01	4
9.000000e-01	9	5.129543e+02	1.703293e+03	1.080000e+01	2.520000e+01	7.685482e-01	7.000000e-01	7.000000e-01	4
1	10	3.135891e+02	1.264999e+03	1.080000e+01	2.520000e+01	8.013484e-01	7.000000e-01	7.000000e-01	4
1.100000e+00	11	3.585417e+02	1.407692e+03	1.080000e+01	2.520000e+01	7.970021e-01	7.000000e-01	7.000000e-01	4
1.200000e+00	12	7.816029e+02	9.788097e+02	1.080000e+01	2.520000e+01	5.560115e-01	7.000000e-01	7.000000e-01	4
1.300000e+00	13	4.049671e+02	1.893200e+03	1.080000e+01	2.520000e+01	8.237869e-01	7.000000e-01	7.000000e-01	4
1.400000e+00	14	1.061370e+03	2.065932e+03	1.080000e+01	2.520000e+01	6.606116e-01	7.000000e-01	7.000000e-01	4
1.500000e+00	15	5.935369e+02	1.454540e+03	1.080000e+01	2.520000e+01	7.101980e-01	7.000000e-01	7.000000e-01	4
1.600000e+00	16	6.373466e+02	1.541346e+03	1.080000e+01	2.520000e+01	7.074637e-01	7.000000e-01	7.000000e-01	4
1.700000e+00	17	6.357780e+02	1.141380e+03	1.080000e+01	2.520000e+01	6.422501e-01	7.000000e-01	7.000000e-01	4
1.800000e+00	18	2.994860e+02	1.335928e+03	1.080000e+01	2.520000e+01	8.168745e-01	7.000000e-01	7.000000e-01	4
1.900000e+00	19	4.750440e+02	8.521539e+02	1.080000e+01	2.520000e+01	6.420700e-01	7.000000e-01	7.000000e-01	4
2	20	7.588933e+02	1.016057e+03	1.080000e+01	2.520000e+01	5.724425e-01	7.000000e-01	7.000000e-01	4
2.100000e+00	21	4.986705e+02	1.230251e+03	1.080000e+01	2.520000e+01	7.115714e-01	7.000000e-01	7.000000e-01	4
2.200000e+00	22	4.854060e+02	1.343059e+03	1.080000e+01	2.520000e+01	7.345281e-01	7.000000e-01	7.000000e-01	4
2.300000e+00	23	6.684364e+02	1.356813e+03	1.080000e+01	2.520000e+01	6.699486e-01	7.000000e-01	7.000000e-01	4
2.400000e+00	24	6.341451e+02	1.379144e+03	1.080000e+01	2.520000e+01	6.850203e-01	7.000000e-01	7.000000e-01	4
2.500000e+00	25	5.820736e+02	1.617035e+03	1.080000e+01	2.520000e+01	7.353138e-01	7.000000e-01	7.000000e-01	4
2.600000e+00	26	7.963329e+02	1.089237e+03	1.080000e+01	2.520000e+01	5.776698e-01	7.000000e-01	7.000000e-01	4
2.700000e+00	27	4.293378e+02	8.416636e+02	1.080000e+01	2.520000e+01	6.622051e-01	7.000000e-01	7.000000e-01	4
2.800000e+00	28	8.653105e+02	1.596093e+03	1.080000e+01	2.520000e+01	6.484483e-01	7.000000e-01	7.000000e-01	4
2.900000e+00	29	4.266437e+02	9.694184e+02	1.080000e+01	2.520000e+01	6.943949e-01	7.000000e-01	7.000000e-01	4
3	30	4.839873e+02	1.584204e+03	1.080000e+01	2.520000e+01	7.659852e-01	7.000000e-01	7.000000e-01	4
3.100000e+00	31	6.079265e+02	1.923547e+03	1.080000e+01	2.520000e+01	7.598527e-01	7.000000e-01	7.000000e-01	4
3.200000e+00	32	4.210942e+02	1.416159e+03	1.080000e+01	2.520000e+01	7.708023e-01	7.000000e-01	7.000000e-01	4
3.300000e+00	33	5.124122e+02	1.732401e+03	1.080000e+01	2.520000e+01	7.717350e-01	7.000000e-01	7.000000e-01	4
3.400000e+00	34	5.248148e+02	1.528972e+03	1.080000e+01	2.520000e+01	7.444649e-01	7.000000e-01	7.000000e-01	4
3.500000e+00	35	2.949517e+02	1.007458e+03	1.080000e+01	2.520000e+01	7.735338e-01	7.000000e-01	7.000000e-01	4
3.600000e+00	36	8.580822e+02	8.930959e+02	1.080000e+01	2.520000e+01	5.099972e-01	7.000000e-01	7.000000e-01	4
3.700000e+00	37	1.013069e+03	1.391621e+03	1.080000e+01	2.520000e+01	5.787112e-01	7.000000e-01	7.000000e-01	4
3.800000e+00	38	5.915480e+02	1.088902e+03	1.080000e+01	2.520000e+01	6.479823e-01	7.000000e-01	7.000000e-01	4
3.900000e+00	39	4.911788e+02	1.469352e+03	1.080000e+01	2.520000e+01	7.494664e-01	7.000000e-01	7.000000e-01	4
4	40	4.990293e+02	1.129456e+03	1.080000e+01	2.520000e+01	6.935623e-01	7.000000e-01	7.000000e-01	4
4.100000e+00	41	7.142681e+02	1.291033e+03	1.080000e+01	2.520000e+01	6.438101e-01	7.000000e-01	7.000000e-01	4
4.200000e+00	42	1.101997e+03	1.329637e+03	1.080000e+01	2.520000e+01	5.468080e-01	7.000000e-01	7.000000e-01	4
4.300000e+00	43	6.232730e+02	1.169572e+03	1.080000e+01	2.520000e+01	6.523554e-01	7.000000e-01	7.000000e-01	4
