coordinates 	5.11	127.05	133.11	127.05
time(s)	frame	Idon(a.u.)	Iacc(a.u.)	Idon ideal(a.u.)	Iacc ideal(a.u.)	FRET	FRET ideal (blurr)	FRET ideal	state sequence
1.000000e-01	1	5.314946e+02	9.722607e+02	1.080000e+01	2.520000e+01	6.465551e-01	7.000000e-01	7.000000e-01	2
2.000000e-01	2	1.372282e+02	7.065527e+02	1.080000e+01	2.520000e+01	8.373651e-01	7.000000e-01	7.000000e-01	2
3.000000e-01	3	5.571443e+02	1.569977e+03	1.080000e+01	2.520000e+01	7.380760e-01	7.000000e-01	7.000000e-01	2
4.000000e-01	4	6.940728e+02	1.008490e+03	1.080000e+01	2.520000e+01	5.923364e-01	7.000000e-01	7.000000e-01	2
5.000000e-01	5	1.992789e+03	8.632682e+02	2.138827e+01	1.461173e+01	3.022587e-01	4.058813e-01	2.000000e-01	1
6.000000e-01	6	1.946844e+03	5.003657e+02	2.880000e+01	7.200000e+00	2.044637e-01	2.000000e-01	2.000000e-01	1
7.000000e-01	7	1.626413e+03	3.058186e+02	2.880000e+01	7.200000e+00	1.582722e-01	2.000000e-01	2.000000e-01	1
8.000000e-01	8	1.506146e+03	4.123400e+02	2.880000e+01	7.200000e+00	2.149299e-01	2.000000e-01	2.000000e-01	1
9.000000e-01	9	1.248771e+03	2.740808e+02	2.880000e+01	7.200000e+00	1.799786e-01	2.000000e-01	2.000000e-01	1
1	10	1.450380e+03	3.855509e+02	2.880000e+01	7.200000e+00	2.100030e-01	2.000000e-01	2.000000e-01	1
1.100000e+00	11	1.278863e+03	5.718086e+02	2.880000e+01	7.200000e+00	3.089735e-01	2.000000e-01	2.000000e-01	1
1.200000e+00	12	1.791755e+03	5.127265e+02	2.880000e+01	7.200000e+00	2.224910e-01	2.000000e-01	2.000000e-01	1
1.300000e+00	13	1.513912e+03	2.825472e+02	2.880000e+01	7.200000e+00	1.572801e-01	2.000000e-01	2.000000e-01	1
1.400000e+00	14	1.885326e+03	6.284781e+02	2.880000e+01	7.200000e+00	2.500108e-01	2.000000e-01	2.000000e-01	1
1.500000e+00	15	1.182918e+03	5.053076e+02	2.880000e+01	7.200000e+00	2.993128e-01	2.000000e-01	2.000000e-01	1
1.600000e+00	16	1.718703e+03	3.647835e+02	2.880000e+01	7.200000e+00	1.750832e-01	2.000000e-01	2.000000e-01	1
1.700000e+00	17	1.735084e+03	5.534184e+02	2.880000e+01	7.200000e+00	2.418255e-01	2.000000e-01	2.000000e-01	1
1.800000e+00	18	1.000658e+03	3.304464e+02	2.880000e+01	7.200000e+00	2.482498e-01	2.000000e-01	2.000000e-01	1
1.900000e+00	19	1.075434e+03	2.725357e+02	2.880000e+01	7.200000e+00	2.021824e-01	2.000000e-01	2.000000e-01	1
2	20	1.895054e+03	3.047981e+02	2.880000e+01	7.200000e+00	1.385539e-01	2.000000e-01	2.000000e-01	1
2.100000e+00	21	1.205656e+03	4.490331e+02	2.880000e+01	7.200000e+00	2.713701e-01	2.000000e-01	2.000000e-01	1
2.200000e+00	22	1.168185e+03	3.945232e+02	2.880000e+01	7.200000e+00	2.524612e-01	2.000000e-01	2.000000e-01	1
2.300000e+00	23	1.607638e+03	2.870669e+02	2.880000e+01	7.200000e+00	1.515101e-01	2.000000e-01	2.000000e-01	1
2.400000e+00	24	1.737947e+03	4.022476e+02	2.880000e+01	7.200000e+00	1.879491e-01	2.000000e-01	2.000000e-01	1
2.500000e+00	25	1.261875e+03	3.067655e+02	2.880000e+01	7.200000e+00	1.955613e-01	2.000000e-01	2.000000e-01	1
2.600000e+00	26	1.563588e+03	3.895239e+02	2.880000e+01	7.200000e+00	1.994376e-01	2.000000e-01	2.000000e-01	1
2.700000e+00	27	1.191278e+03	4.730549e+02	2.880000e+01	7.200000e+00	2.842309e-01	2.000000e-01	2.000000e-01	1
2.800000e+00	28	1.630471e+03	5.291125e+02	2.880000e+01	7.200000e+00	2.450068e-01	2.000000e-01	2.000000e-01	1
2.900000e+00	29	2.011062e+03	3.044045e+02	2.880000e+01	7.200000e+00	1.314658e-01	2.000000e-01	2.000000e-01	1
3	30	9.739069e+02	5.067784e+02	2.880000e+01	7.200000e+00	3.422594e-01	2.000000e-01	2.000000e-01	1
3.100000e+00	31	1.334240e+03	3.299498e+02	2.880000e+01	7.200000e+00	1.982645e-01	2.000000e-01	2.000000e-01	1
3.200000e+00	32	1.571497e+03	3.511432e+02	2.880000e+01	7.200000e+00	1.826359e-01	2.000000e-01	2.000000e-01	1
3.300000e+00	33	2.125344e+03	3.882683e+02	2.880000e+01	7.200000e+00	1.544663e-01	2.000000e-01	2.000000e-01	1
3.400000e+00	34	1.702936e+03	2.341093e+02	2.880000e+01	7.200000e+00	1.208590e-01	2.000000e-01	2.000000e-01	1
3.500000e+00	35	1.127703e+03	4.519448e+02	2.880000e+01	7.200000e+00	2.861049e-01	2.000000e-01	2.000000e-01	1
3.600000e+00	36	1.255196e+03	3.375203e+02	2.880000e+01	7.200000e+00	2.119149e-01	2.000000e-01	2.000000e-01	1
3.700000e+00	37	1.532596e+03	1.970424e+02	2.880000e+01	7.200000e+00	1.139212e-01	2.000000e-01	2.000000e-01	1
3.800000e+00	38	1.592203e+03	4.410006e+02	2.880000e+01	7.200000e+00	2.168994e-01	2.000000e-01	2.000000e-01	1
3.900000e+00	39	9.585666e+02	3.339942e+02	2.880000e+01	7.200000e+00	2.583973e-01	2.000000e-01	2.000000e-01	1
4	40	1.951800e+03	4.826456e+02	2.880000e+01	7.200000e+00	1.982569e-01	2.000000e-01	2.000000e-01	1
4.100000e+00	41	1.452180e+03	1.545070e+02	2.880000e+01	7.200000e+00	9.616493e-02	2.000000e-01	2.000000e-01	1
4.200000e+00	42	1.839843e+03	2.591846e+02	2.880000e+01	7.200000e+00	1.234784e-01	2.000000e-01	2.000000e-01	1
4.300000e+00	43	1.234144e+03	2.296013e+02	2.880000e+01	7.200000e+00	1.568588e-01	2.000000e-01	2.000000e-01	1
