coordinates 	114.93	151.90	242.93	151.90
time(s)	frame	Idon(a.u.)	Iacc(a.u.)	Idon ideal(a.u.)	Iacc ideal(a.u.)	FRET	FRET ideal (blurr)	FRET ideal	state sequence
1.000000e-01	1	5.504603e+02	1.247310e+03	1.080000e+01	2.520000e+01	6.938094e-01	7.000000e-01	7.000000e-01	2
2.000000e-01	2	8.073757e+02	7.216234e+02	1.401824e+01	2.198176e+01	4.719580e-01	6.106043e-01	7.000000e-01	2
3.000000e-01	3	1.801926e+03	5.049117e+02	2.880000e+01	7.200000e+00	2.188761e-01	2.000000e-01	2.000000e-01	1
4.000000e-01	4	1.126688e+03	3.648231e+02	2.880000e+01	7.200000e+00	2.445997e-01	2.000000e-01	2.000000e-01	1
5.000000e-01	5	1.328648e+03	4.247135e+02	2.880000e+01	7.200000e+00	2.422282e-01	2.000000e-01	2.000000e-01	1
6.000000e-01	6	1.165474e+03	3.513834e+02	2.880000e+01	7.200000e+00	2.316523e-01	2.000000e-01	2.000000e-01	1
7.000000e-01	7	1.314357e+03	5.644986e+02	2.880000e+01	7.200000e+00	3.004481e-01	2.000000e-01	2.000000e-01	1
8.000000e-01	8	1.570297e+03	4.978879e+02	2.880000e+01	7.200000e+00	2.407367e-01	2.000000e-01	2.000000e-01	1
9.000000e-01	9	1.465059e+03	5.004404e+02	2.880000e+01	7.200000e+00	2.546124e-01	2.000000e-01	2.000000e-01	1
1	10	1.333641e+03	2.907833e+02	2.880000e+01	7.200000e+00	1.790070e-01	2.000000e-01	2.000000e-01	1
1.100000e+00	11	8.856048e+02	2.347276e+02	2.880000e+01	7.200000e+00	2.095161e-01	2.000000e-01	2.000000e-01	1
1.200000e+00	12	1.601773e+03	1.913941e+02	2.880000e+01	7.200000e+00	1.067352e-01	2.000000e-01	2.000000e-01	1
1.300000e+00	13	1.948192e+03	4.463613e+02	2.880000e+01	7.200000e+00	1.864069e-01	2.000000e-01	2.000000e-01	1
1.400000e+00	14	1.552867e+03	4.211358e+02	2.880000e+01	7.200000e+00	2.133410e-01	2.000000e-01	2.000000e-01	1
1.500000e+00	15	1.805001e+03	2.324607e+02	2.880000e+01	7.200000e+00	1.140932e-01	2.000000e-01	2.000000e-01	1
1.600000e+00	16	1.594578e+03	3.171604e+02	2.880000e+01	7.200000e+00	1.659016e-01	2.000000e-01	2.000000e-01	1
1.700000e+00	17	1.330265e+03	2.429591e+02	2.880000e+01	7.200000e+00	1.544339e-01	2.000000e-01	2.000000e-01	1
1.800000e+00	18	1.875156e+03	4.197593e+02	2.880000e+01	7.200000e+00	1.829084e-01	2.000000e-01	2.000000e-01	1
1.900000e+00	19	1.942603e+03	3.989144e+02	2.880000e+01	7.200000e+00	1.703657e-01	2.000000e-01	2.000000e-01	1
2	20	1.526465e+03	6.549735e+02	2.880000e+01	7.200000e+00	3.002485e-01	2.000000e-01	2.000000e-01	1
2.100000e+00	21	1.562477e+03	3.878837e+02	2.880000e+01	7.200000e+00	1.988779e-01	2.000000e-01	2.000000e-01	1
2.200000e+00	22	1.314029e+03	4.468428e+02	2.880000e+01	7.200000e+00	2.537622e-01	2.000000e-01	2.000000e-01	1
2.300000e+00	23	1.596779e+03	3.739511e+02	2.880000e+01	7.200000e+00	1.897526e-01	2.000000e-01	2.000000e-01	1
2.400000e+00	24	1.789825e+03	1.168979e+02	2.880000e+01	7.200000e+00	6.130827e-02	2.000000e-01	2.000000e-01	1
2.500000e+00	25	1.603145e+03	6.203960e+02	2.880000e+01	7.200000e+00	2.790127e-01	2.000000e-01	2.000000e-01	1
2.600000e+00	26	2.521997e+03	4.403738e+02	2.880000e+01	7.200000e+00	1.486558e-01	2.000000e-01	2.000000e-01	1
2.700000e+00	27	1.010992e+03	2.716056e+02	2.880000e+01	7.200000e+00	2.117622e-01	2.000000e-01	2.000000e-01	1
2.800000e+00	28	1.581751e+03	4.627051e+02	2.880000e+01	7.200000e+00	2.263219e-01	2.000000e-01	2.000000e-01	1
2.900000e+00	29	1.459694e+03	2.840198e+02	2.880000e+01	7.200000e+00	1.628821e-01	2.000000e-01	2.000000e-01	1
3	30	1.277176e+03	3.726804e+02	2.880000e+01	7.200000e+00	2.258866e-01	2.000000e-01	2.000000e-01	1
3.100000e+00	31	1.737245e+03	1.223664e+01	2.880000e+01	7.200000e+00	6.994437e-03	2.000000e-01	2.000000e-01	1
3.200000e+00	32	1.912417e+03	2.024181e+02	2.880000e+01	7.200000e+00	9.571339e-02	2.000000e-01	2.000000e-01	1
3.300000e+00	33	1.342766e+03	4.957444e+02	2.880000e+01	7.200000e+00	2.696446e-01	2.000000e-01	2.000000e-01	1
3.400000e+00	34	1.588728e+03	5.489005e+02	2.880000e+01	7.200000e+00	2.567801e-01	2.000000e-01	2.000000e-01	1
3.500000e+00	35	1.664217e+03	2.259253e+02	2.880000e+01	7.200000e+00	1.195282e-01	2.000000e-01	2.000000e-01	1
3.600000e+00	36	1.363857e+03	5.162326e+02	2.880000e+01	7.200000e+00	2.745787e-01	2.000000e-01	2.000000e-01	1
3.700000e+00	37	1.757051e+03	4.383502e+02	2.880000e+01	7.200000e+00	1.996675e-01	2.000000e-01	2.000000e-01	1
3.800000e+00	38	1.674962e+03	5.627567e+02	2.880000e+01	7.200000e+00	2.514868e-01	2.000000e-01	2.000000e-01	1
3.900000e+00	39	1.237185e+03	5.069142e+02	2.880000e+01	7.200000e+00	2.906453e-01	2.000000e-01	2.000000e-01	1
4	40	1.256842e+03	3.611359e+02	2.880000e+01	7.200000e+00	2.232019e-01	2.000000e-01	2.000000e-01	1
4.100000e+00	41	1.375871e+03	3.311630e+02	2.880000e+01	7.200000e+00	1.939990e-01	2.000000e-01	2.000000e-01	1
4.200000e+00	42	2.328284e+03	2.819947e+02	2.880000e+01	7.200000e+00	1.080324e-01	2.000000e-01	2.000000e-01	1
4.300000e+00	43	1.366829e+03	5.938616e+02	2.880000e+01	7.200000e+00	3.028838e-01	2.000000e-01	2.000000e-01	1
4.400000e+00	44	2.099227e+03	4.063190e+02	2.880000e+01	7.200000e+00	1.621679e-01	2.000000e-01	2.000000e-01	1
4.500000e+00	45	1.102518e+03	4.801306e+02	2.880000e+01	7.200000e+00	3.033716e-01	2.000000e-01	2.000000e-01	1
4.600000e+00	46	1.692523e+03	3.197600e+02	2.880000e+01	7.200000e+00	1.589041e-01	2.000000e-01	2.000000e-01	1
4.700000e+00	47	1.444881e+03	7.395607e+02	2.880000e+01	7.200000e+00	3.385582e-01	2.000000e-01	2.000000e-01	1
4.800000e+00	48	1.329419e+03	5.123793e+02	2.880000e+01	7.200000e+00	2.781951e-01	2.000000e-01	2.000000e-01	1
4.900000e+00	49	2.088386e+03	1.941050e+02	2.880000e+01	7.200000e+00	8.504083e-02	2.000000e-01	2.000000e-01	1
5	50	1.663318e+03	3.208081e+02	2.880000e+01	7.200000e+00	1.616874e-01	2.000000e-01	2.000000e-01	1
5.100000e+00	51	1.866497e+03	4.520955e+02	2.880000e+01	7.200000e+00	1.949870e-01	2.000000e-01	2.000000e-01	1
5.200000e+00	52	1.783365e+03	3.466304e+02	2.880000e+01	7.200000e+00	1.627376e-01	2.000000e-01	2.000000e-01	1
5.300000e+00	53	1.592415e+03	1.635374e+02	2.880000e+01	7.200000e+00	9.313319e-02	2.000000e-01	2.000000e-01	1
5.400000e+00	54	1.233014e+03	3.169842e+02	2.880000e+01	7.200000e+00	2.045062e-01	2.000000e-01	2.000000e-01	1
