coordinates 	53.84	180.58	181.84	180.58
time(s)	frame	Idon(a.u.)	Iacc(a.u.)	Idon ideal(a.u.)	Iacc ideal(a.u.)	FRET	FRET ideal (blurr)	FRET ideal	state sequence
1.000000e-01	1	4.969741e+02	1.509010e+03	1.080000e+01	2.520000e+01	7.522543e-01	7.000000e-01	7.000000e-01	2
2.000000e-01	2	4.985083e+02	1.061625e+03	1.080000e+01	2.520000e+01	6.804708e-01	7.000000e-01	7.000000e-01	2
3.000000e-01	3	5.250511e+02	1.477650e+03	1.080000e+01	2.520000e+01	7.378286e-01	7.000000e-01	7.000000e-01	2
4.000000e-01	4	5.320478e+02	1.232727e+03	1.080000e+01	2.520000e+01	6.985181e-01	7.000000e-01	7.000000e-01	2
5.000000e-01	5	7.112900e+02	1.483681e+03	1.080000e+01	2.520000e+01	6.759455e-01	7.000000e-01	7.000000e-01	2
6.000000e-01	6	5.440293e+02	1.531572e+03	1.080000e+01	2.520000e+01	7.378932e-01	7.000000e-01	7.000000e-01	2
7.000000e-01	7	4.534859e+02	1.424922e+03	1.080000e+01	2.520000e+01	7.585797e-01	7.000000e-01	7.000000e-01	2
8.000000e-01	8	5.262944e+02	1.629630e+03	1.080000e+01	2.520000e+01	7.558845e-01	7.000000e-01	7.000000e-01	2
9.000000e-01	9	9.530099e+02	1.415078e+03	1.080000e+01	2.520000e+01	5.975614e-01	7.000000e-01	7.000000e-01	2
1	10	3.120145e+02	1.426828e+03	1.459202e+01	2.140798e+01	8.205620e-01	5.946660e-01	7.000000e-01	2
1.100000e+00	11	1.947857e+03	2.973337e+02	2.880000e+01	7.200000e+00	1.324314e-01	2.000000e-01	2.000000e-01	1
1.200000e+00	12	1.534615e+03	1.477266e+02	2.880000e+01	7.200000e+00	8.781012e-02	2.000000e-01	2.000000e-01	1
1.300000e+00	13	9.190059e+02	1.466846e+03	1.417357e+01	2.182643e+01	6.148102e-01	6.062896e-01	7.000000e-01	2
1.400000e+00	14	4.190270e+02	1.566343e+03	1.080000e+01	2.520000e+01	7.889426e-01	7.000000e-01	7.000000e-01	2
1.500000e+00	15	2.956577e+02	1.240663e+03	1.080000e+01	2.520000e+01	8.075547e-01	7.000000e-01	7.000000e-01	2
1.600000e+00	16	6.815177e+02	9.286535e+02	1.080000e+01	2.520000e+01	5.767421e-01	7.000000e-01	7.000000e-01	2
1.700000e+00	17	5.188249e+02	1.393968e+03	1.080000e+01	2.520000e+01	7.287606e-01	7.000000e-01	7.000000e-01	2
1.800000e+00	18	9.922668e+02	5.831515e+02	1.835477e+01	1.764523e+01	3.701566e-01	4.901454e-01	7.000000e-01	2
1.900000e+00	19	1.305344e+03	2.818805e+02	2.880000e+01	7.200000e+00	1.775933e-01	2.000000e-01	2.000000e-01	1
2	20	1.438106e+03	3.426918e+02	2.880000e+01	7.200000e+00	1.924372e-01	2.000000e-01	2.000000e-01	1
2.100000e+00	21	1.480337e+03	4.750561e+02	2.880000e+01	7.200000e+00	2.429465e-01	2.000000e-01	2.000000e-01	1
2.200000e+00	22	1.672291e+03	3.641747e+02	2.880000e+01	7.200000e+00	1.788269e-01	2.000000e-01	2.000000e-01	1
2.300000e+00	23	1.022088e+03	2.386924e+02	2.880000e+01	7.200000e+00	1.893212e-01	2.000000e-01	2.000000e-01	1
2.400000e+00	24	1.577973e+03	0	2.880000e+01	7.200000e+00	0	2.000000e-01	2.000000e-01	1
2.500000e+00	25	2.182911e+03	2.884676e+02	2.880000e+01	7.200000e+00	1.167233e-01	2.000000e-01	2.000000e-01	1
2.600000e+00	26	1.748561e+03	4.081584e+02	2.880000e+01	7.200000e+00	1.892496e-01	2.000000e-01	2.000000e-01	1
2.700000e+00	27	1.610473e+03	3.024567e+02	2.880000e+01	7.200000e+00	1.581118e-01	2.000000e-01	2.000000e-01	1
2.800000e+00	28	1.361249e+03	5.089952e+02	2.880000e+01	7.200000e+00	2.721544e-01	2.000000e-01	2.000000e-01	1
2.900000e+00	29	2.023174e+03	4.124791e+02	2.880000e+01	7.200000e+00	1.693505e-01	2.000000e-01	2.000000e-01	1
3	30	1.387145e+03	4.140609e+02	2.880000e+01	7.200000e+00	2.298798e-01	2.000000e-01	2.000000e-01	1
3.100000e+00	31	1.472835e+03	4.988448e+02	2.880000e+01	7.200000e+00	2.530050e-01	2.000000e-01	2.000000e-01	1
3.200000e+00	32	2.089703e+03	7.555173e+02	2.880000e+01	7.200000e+00	2.655391e-01	2.000000e-01	2.000000e-01	1
3.300000e+00	33	1.648808e+03	5.121856e+02	2.880000e+01	7.200000e+00	2.370139e-01	2.000000e-01	2.000000e-01	1
3.400000e+00	34	1.799987e+03	3.517822e+02	2.880000e+01	7.200000e+00	1.634851e-01	2.000000e-01	2.000000e-01	1
3.500000e+00	35	1.742063e+03	3.187619e+02	2.880000e+01	7.200000e+00	1.546768e-01	2.000000e-01	2.000000e-01	1
3.600000e+00	36	1.553194e+03	1.007184e+02	2.880000e+01	7.200000e+00	6.089707e-02	2.000000e-01	2.000000e-01	1
3.700000e+00	37	1.454317e+03	3.250496e+02	2.880000e+01	7.200000e+00	1.826772e-01	2.000000e-01	2.000000e-01	1
3.800000e+00	38	1.778276e+03	1.724380e+02	2.880000e+01	7.200000e+00	8.839738e-02	2.000000e-01	2.000000e-01	1
3.900000e+00	39	1.753870e+03	3.447662e+02	2.880000e+01	7.200000e+00	1.642811e-01	2.000000e-01	2.000000e-01	1
4	40	9.167918e+02	1.504302e+03	1.486554e+01	2.113446e+01	6.213316e-01	5.870683e-01	7.000000e-01	3
